emp_no,first_name,last_name,dept_name,from_date,to_date
10095,Hilari,Morton,Sales,1994-03-10,9999-01-01
10122,Ohad,Esposito,Development,1998-08-06,9999-01-01
10291,Dipayan,Seghrouchni,Sales,1987-03-30,9999-01-01
10410,Takahito,Gecsei,Sales,1993-10-16,1996-07-21
10476,Kokou,Iisaka,Research,1987-09-20,9999-01-01
10480,Make,Baba,Finance,1988-05-18,1989-06-03
10663,Teunis,Noriega,Production,1999-02-12,9999-01-01
10762,Lech,Himler,Research,1992-01-21,9999-01-01
10933,Juyoung,Seghrouchni,Production,1993-08-02,9999-01-01
11015,Jeanna,Riesenhuber,Sales,1998-03-14,2000-02-22
11126,Hideo,Daescu,Research,1992-02-25,2002-04-04
11157,Mario,Cochrane,Development,1985-03-30,1991-02-06
11432,Yongmao,Zwicker,Production,1987-10-19,1997-09-13
12155,Keiichiro,Glinert,Production,1993-09-16,9999-01-01
12408,Rasiah,Sudkamp,Development,1995-04-18,9999-01-01
12643,Morrie,Schurmann,Finance,1998-12-31,9999-01-01
13499,Kazuhiko,Sidou,Production,1991-09-01,9999-01-01
13957,Angus,Chelton,Quality Management,1986-04-18,1987-02-02
14075,Denny,Tchuente,Development,1991-05-30,9999-01-01
14104,Sudhanshu,Demian,Human Resources,1994-07-23,9999-01-01
14127,Magdalena,Cannard,Production,1994-04-22,9999-01-01
14158,Caolyn,Setiz,Sales,1990-02-06,9999-01-01
14476,Sastry,Marrevee,Production,1999-09-25,9999-01-01
14551,Richard,Sinitsyn,Sales,1993-06-27,1993-09-16
14907,Nakhoon,Luga,Sales,1986-12-18,9999-01-01
15050,Nikolaos,Kruskal,Production,1990-12-17,9999-01-01
15058,Bouchung,Bugrara,Finance,1990-06-18,9999-01-01
15376,Geoff,Soicher,Research,1988-08-14,2001-03-01
15413,Arvin,Rabejac,Development,1994-01-01,9999-01-01
16461,Remmert,Schahn,Sales,1986-09-06,9999-01-01
16528,Gaurav,Swick,Production,1996-05-07,9999-01-01
17013,Morris,Garigliano,Finance,1995-05-24,9999-01-01
17206,Berry,DeMori,Production,1992-12-27,9999-01-01
17369,Yaghout,Kenevan,Production,2000-09-15,9999-01-01
17447,Zengping,Boreale,Sales,1998-12-16,9999-01-01
17618,Teiji,Picco,Research,1992-09-17,1999-11-08
17731,Gennady,Roison,Development,1989-12-06,9999-01-01
17799,Gro,Gini,Development,1997-09-28,2001-07-11
17970,Filipp,Carrere,Production,1989-01-09,9999-01-01
17988,Mabhin,Calkin,Production,1989-11-30,9999-01-01
18021,Adil,Matzke,Development,1987-05-08,9999-01-01
18187,Denis,Falster,Research,1998-12-21,1999-06-03
18424,Filipp,Rousseau,Development,1995-06-07,9999-01-01
18583,Stafford,Honglei,Customer Service,1998-08-16,9999-01-01
18617,Surveyors,Crouzet,Human Resources,1989-04-24,9999-01-01
18810,Taiji,Jarecki,Development,1991-06-27,9999-01-01
19236,Elzbieta,Morris,Production,1988-07-12,9999-01-01
19350,Satoru,Yoshizawa,Customer Service,1994-03-27,9999-01-01
19803,Ziva,Kowalchuk,Development,1987-06-13,9999-01-01
20100,Utz,Heuter,Marketing,1986-06-15,9999-01-01
20128,Kazunori,Peak,Customer Service,1999-08-13,9999-01-01
20129,Rafael,Skafidas,Production,1991-03-28,9999-01-01
20248,Vidar,Demri,Customer Service,1999-12-31,9999-01-01
20313,Candida,Benveniste,Production,1999-01-20,9999-01-01
20500,Christoph,Trystram,Customer Service,1993-10-15,9999-01-01
20712,Valeri,Escriba,Production,1994-04-09,1998-05-02
20720,Heejo,Brodie,Human Resources,1996-12-27,1997-05-17
20885,Otmar,Rothenberg,Production,1989-03-14,9999-01-01
